economy,series,Country,Series,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023,YR2024
ZWE,NY.GDP.MKTP.CD,Zimbabwe,GDP (current US$),8788301546.04498,8646000000.0,6755000000.0,6567250000.0,6894250000.0,7115000000.0,8557500000.0,8534000000.0,6405250000.0,6861500000.0,6693250000.0,6780750000.0,6345250000.0,5730500000.0,5808500000.0,5758250000.0,5446750000.0,5294750000.0,4418000000.0,9670750000.0,12047750000.0,14109000000.0,17123500000.0,19100750000.0,19505500000.0,19973250000.0,20559250000.0,51035657370.5179,34141666666.6667,33357695635.1284,31980334561.3123,41287673690.0771,40757561708.7741,35871779680.6335,41539411516.4448
ZMB,NY.GDP.MKTP.CD,Zambia,GDP (current US$),3288381797.32415,3376806697.1218,3182810841.01704,3273505343.85539,3656806165.78848,3806983413.16416,3597220962.00017,4303288479.7086,3537741941.89367,3404284890.5306,3600632111.41414,4094441301.21423,4193850445.42632,4901869764.05957,6221110219.45542,8331870169.14977,12756858899.2812,14056957976.2648,17910858637.9048,15328342303.9575,20265559483.8548,23459515275.5776,25503060420.026,28037239462.7142,27141023558.0829,21251216798.7762,20958412538.3093,25873601260.8353,26311507273.6735,23308667781.2258,18137764930.651,22096416932.0089,29163782140.4858,27577956471.244,25303185342.2511
YEM,NY.GDP.MKTP.CD,"Yemen, Rep.",GDP (current US$),12643821568.9626,14665445462.1149,17959367194.005,21736802664.4463,28019483763.5304,12796345679.0123,6496163615.66086,6838298530.54911,6322175565.94651,7639325295.88287,9679316770.18633,9852990692.98714,10693430511.4664,11777532662.0499,13867634371.4773,16731566717.1888,19063143369.858,21650528674.0933,26910855807.288,25130278212.5575,30906749533.221,32726417878.391,35401331609.5916,40415233436.1767,43228585321.3272,42444490073.8555,31317825274.1507,26842229044.5848,21606160663.0318,,,,,,
PSE,NY.GDP.MKTP.CD,West Bank and Gaza,GDP (current US$),,,,,2843300000.0,3282800000.0,3409600000.0,3759800000.0,4067800000.0,4271200000.0,4313600000.0,4003700000.0,3555800000.0,3968000000.0,4603100000.0,5125700000.0,5348300000.0,5815700000.0,7310400000.0,8085700000.0,9681500000.0,11186100000.0,12208400000.0,13515500000.0,13989700000.0,13972400000.0,15405400000.0,16128000000.0,16276600000.0,17133500000.0,15531700000.0,18109000000.0,19165500000.0,17847900000.0,13711100000.0
VIR,NY.GDP.MKTP.CD,Virgin Islands (U.S.),GDP (current US$),,,,,,,,,,,,,3262000000.0,3443000000.0,3797000000.0,4428000000.0,4484000000.0,4784000000.0,4244000000.0,4201000000.0,4324000000.0,4223000000.0,4089000000.0,3738000000.0,3565000000.0,3663000000.0,3798000000.0,3794000000.0,3923000000.0,4121000000.0,4229000000.0,4507000000.0,4672000000.0,,
VNM,NY.GDP.MKTP.CD,Viet Nam,GDP (current US$),6471740805.56984,9613369520.41885,9866990236.43587,13180953598.1716,16286433533.3228,20736164458.9505,24657470574.7501,26843700441.5482,27209602050.0452,28683659006.7752,31172518403.3162,32685198808.5549,35064105500.8344,39552513231.9169,45427854693.2554,57633255738.1992,66371664817.0436,77414425532.2452,99130304099.1274,106014659565.214,147201173196.979,172595049183.925,195590661129.249,213708811665.34,233451469642.519,239258328381.741,257096001177.982,281353605986.903,310106478394.659,334365270496.667,346615738537.796,366474752771.009,413445230668.578,433857681378.291,476388230307.175
VEN,NY.GDP.MKTP.CD,"Venezuela, RB",GDP (current US$),48606952194.7752,53453444786.6256,60416519620.0849,60037460783.1941,58418666666.6667,77389487770.0883,70543211119.099,85837678559.8324,91336763255.0597,97972842461.5131,117146466002.661,122911036746.729,92893587733.6549,83620628582.1082,112451400424.964,145513489651.872,183477522123.894,230364012575.687,315953388510.678,329787628928.472,393192354510.653,316482190800.364,372592062768.06,258930655486.37,214689614732.719,125449241571.391,112915034262.314,115883275162.586,102021093964.682,73014084091.3,42838020721.1995,56614976854.5499,89013255584.7499,102376526555.948,119802963257.783
VUT,NY.GDP.MKTP.CD,Vanuatu,GDP (current US$),168879207.244148,201334169.054441,209088824.608438,200491853.167847,233701301.490486,249333250.082507,261370044.486614,272771209.113662,262293410.708334,268006972.690296,272014627.835262,257926881.72043,262596535.549028,314471413.001776,364996869.129618,394962433.029368,439358586.535588,516392922.513728,590748429.401902,592622319.145664,670712979.682038,770153588.218833,747839697.746593,758304466.245339,773717010.546445,759690180.951654,804323576.861028,880043284.399407,914727908.137793,936526267.622513,909421043.508407,950394006.532514,1055031360.57356,1115861055.72463,1117972034.22642
UZB,NY.GDP.MKTP.CD,Uzbekistan,GDP (current US$),13362340337.8657,13800167711.5003,12953801760.2414,13099920055.9608,12899074922.38,13350461264.9969,13948892215.5689,14744603773.5849,14988971210.8383,17078465982.0282,13760513969.314,11401421329.1974,9687788512.80184,10134453435.4603,12030023547.8807,14307509838.8053,17330833852.919,22311393927.8817,29549438883.8338,33689223673.2577,49765676402.4495,60178909297.208,67517349212.0609,73180037914.9104,80845385809.4529,86196264755.3105,86138288644.171,69703222282.7278,58695899092.1083,67293639798.3996,66443265418.3086,77340060003.0347,90095926567.4359,102641879248.764,114965293466.611
URY,NY.GDP.MKTP.CD,Uruguay,GDP (current US$),9298807850.29979,11206176650.9075,12878148790.7348,15002136971.1745,17474588895.8918,19297663096.5506,20515458113.5857,23969739233.8966,25385886977.5228,23983945190.6202,22823270892.1094,20898761742.2386,13606515722.5864,12045638351.8507,13686329890.1191,17362857683.8545,19741420739.8901,23797773024.3992,31119602538.8322,32708319077.5179,41950361211.9581,50342406067.0777,54232266358.7811,61337621933.7857,61496186973.902,57680327998.6689,57480787465.2716,65005997963.4822,65344577415.7535,62222313618.8454,53559359261.826,60739084240.8633,70594110920.0358,77991666837.7382,80961511073.5797
USA,NY.GDP.MKTP.CD,United States,GDP (current US$),5963144000000.0,6158129000000.0,6520327000000.0,6858559000000.0,7287236000000.0,7639749000000.0,8073122000000.0,8577554457000.0,9062818202000.0,9631174489000.0,10250947997000.0,10581929774000.0,10929112955000.0,11456442041000.0,12217193198000.0,13039199193000.0,13815586948000.0,14474226905000.0,14769857911000.0,14478064934000.0,15048964444000.0,15599728123000.0,16253972230000.0,16843190993000.0,17550680174000.0,18206020741000.0,18695110842000.0,19477336549000.0,20533057312000.0,21380976119000.0,21060473613000.0,23315080560000.0,25604848907611.0,27292170793214.4,28750956130731.2
GBR,NY.GDP.MKTP.CD,United Kingdom,GDP (current US$),1093169389204.55,1142797178130.51,1179659529659.53,1061388722255.55,1140489745944.29,1349094208616.06,1425287051482.06,1569317288801.57,1660821464060.95,1693458987218.9,1671597821152.97,1656171009068.66,1790536570743.41,2061227755102.04,2429774807762.72,2551361818181.82,2719558417663.29,3104699879951.98,2945251838235.29,2429358155475.93,2496740681057.14,2675590034128.66,2719715961539.83,2796908333283.39,3085362169410.29,2945579890258.46,2706807606538.73,2699118387873.1,2897028009916.05,2875710080015.3,2724001478304.59,3194559188925.93,3181244350465.41,3420796653789.08,3686033044482.13
ARE,NY.GDP.MKTP.CD,United Arab Emirates,GDP (current US$),50701443748.2975,51552165622.4462,54239171887.769,55625170253.337,59305093979.842,65743666575.8649,73571233996.1863,78839008444.5655,75674336283.1858,84445473110.9598,104337372362.151,103311640571.818,109816201497.617,124346358066.712,147824370319.946,180617467964.602,222116541865.214,257916133424.098,315474615738.598,253547358747.447,307736419332.88,368881143635.126,392793464942.138,409632675289.313,424935874744.724,381973042886.317,381717086453.37,403365010211.028,440560108917.631,433926208304.969,357161878829.135,422441388699.796,511403403675.97,522622191967.325,552324846834.581
UKR,NY.GDP.MKTP.CD,Ukraine,GDP (current US$),81393558423.4406,77350733982.4458,73945908383.7046,65648559903.0571,52549580264.8064,48213856468.5718,44558831005.0621,50151531591.7317,41882523345.1804,31580639553.8298,32375083934.8241,39309580983.2282,43956163612.0433,52010355753.0461,67220154164.3166,89238865118.5263,111884752475.248,148733861386.139,188110390659.515,121552153444.124,141209170427.233,169333835201.554,182591753827.949,190498811460.028,133503871861.723,91030967789.0717,93355869403.9223,112090505081.739,130891088293.55,153883047509.577,156617722013.342,199765859570.935,161989520721.19,181221517868.744,190741262414.705
UGA,NY.GDP.MKTP.CD,Uganda,GDP (current US$),4304399310.30967,3321729159.62277,2857457761.90922,3220439044.18949,3990430446.71216,5755818842.49246,6044585326.938,6269333313.17108,6584815846.52754,5998563257.94659,6193246837.09687,5840503868.51573,6178563591.12051,6606884275.23087,7939487547.77384,9239221763.05793,9977647682.96954,11902564494.8833,14440404132.2047,25127805566.6584,26673441430.7857,27871725241.4723,27305915910.7877,28915786516.6123,32612397257.4458,32387183730.1002,29203988696.2626,30744473841.424,32927025619.6795,35353061003.4359,37600368241.6657,40529788748.6737,45565333210.9108,48768955863.3175,53911907086.1525
TUV,NY.GDP.MKTP.CD,Tuvalu,GDP (current US$),9542900.90136505,10127313.9132358,10535028.1423687,10414399.9564792,11772610.6579341,11922614.1984666,13338597.3300737,13734210.096632,13795146.2092638,14800503.2582747,15073975.5349377,13964732.327114,16842672.5952874,19456338.0318228,22798274.9795551,22909979.8163078,24096875.4635825,28450168.692765,31874434.857882,28076983.9703819,32105408.4771121,39196957.4908996,39345579.4723758,38615890.6320745,38760982.6540096,36811936.0824587,41629064.2232388,45276595.3533146,48015259.8751356,54123198.5662913,51746594.3148543,60196405.7138393,59065982.0873657,62280311.5852172,
TCA,NY.GDP.MKTP.CD,Turks and Caicos Islands,GDP (current US$),,,,,,,,,,,,358744800.0,366707900.0,409753600.0,485598800.0,578645800.0,721891500.0,773490000.0,862684000.0,703176000.0,686788000.0,842941000.0,832848000.0,863328000.0,956605000.0,1078274000.0,1202078000.0,1197958000.0,1314329000.0,1371838000.0,918387000.0,1236459000.0,1434119000.0,1638653000.0,1745378000.0
TKM,NY.GDP.MKTP.CD,Turkmenistan,GDP (current US$),3189539641.3171,3208098919.0146,3200539816.0601,3179225948.58114,2561118608.35516,2482228439.71407,2378759975.44506,2450350625.10407,2605689134.49042,2450564100.18292,2904663310.9825,3534772732.39746,4462029108.72349,5977440582.80171,6838351088.46688,8103901996.37024,10276674364.8961,12664165103.1895,19271523178.8079,20214385964.9123,22583157894.7368,29233333333.3333,35164210526.3158,39197543859.6491,43524210526.3158,35799714285.7143,36169428571.4286,37926285714.2857,40765428571.4286,40810067974.509,41509903181.7231,40589905812.0364,42208726137.7192,45894538665.5538,51387209872.2994
TUR,NY.GDP.MKTP.CD,Turkiye,GDP (current US$),150655500191.644,151034731543.624,159104772991.851,180415757851.616,130650447499.071,234699627004.035,250366965174.129,263817553748.395,276035372654.608,256673939247.773,274748463178.502,202195080239.036,240778008473.845,315392899922.379,410156784495.948,508314210212.544,559668118237.002,685228481017.03,775415944332.866,653894449921.288,782545664268.333,844192507380.795,885327622479.052,962167643588.925,942343431928.654,865460050683.656,870818016909.84,863874522365.276,788356985773.667,775853144222.613,733628247119.077,839938668172.134,926097476913.818,1141242864657.45,1359123768774.12
TUN,NY.GDP.MKTP.CD,Tunisia,GDP (current US$),12290568181.8182,13074782608.6957,15496708060.4184,14608335608.1543,15633174304.0905,18030876599.3444,19587161806.7655,20746210353.845,21802893587.126,22943202174.9668,21473528160.7782,22065832448.8623,23141616604.5242,27453902261.4629,31183885241.4396,32272186694.8043,34376664600.5898,38915353866.757,44859439902.2191,43455740497.3061,46206091937.9628,48123325825.0739,47311401812.6733,48685446413.953,50271812920.612,45779494041.9295,44360072680.4476,42163530590.9462,42686504459.801,41905642418.825,42491780918.361,47073234359.1819,44929920092.7955,48205328303.3398,51332285656.5422
TTO,NY.GDP.MKTP.CD,Trinidad and Tobago,GDP (current US$),5068000000.0,5307905882.35294,5439552941.17647,4669491134.2478,4947181645.55221,5329217747.21258,5759570336.11287,5737771523.10148,6043686653.62189,6808982520.75759,8154342116.10311,8824849191.03571,9008298228.60273,11305459802.0683,13280291989.5755,15982389018.4041,18369361094.3886,21641620049.9352,27871587349.5413,19172165225.5015,22157920592.3669,25433007437.1605,27147349937.4689,28560537057.1548,29474180005.1333,26841141793.2143,23624322192.6274,23830750900.6899,23883058083.2171,23477745791.6977,20888515184.2239,24222963262.7213,28341164301.126,25036993423.3664,25633544529.4849
